Mode,Year,Measure,Region,Value
Air,2022,Value of freight flows (millions of dollars),Other,105226
Air,2021,Value of freight flows (millions of dollars),Other,98610
Air,2020,Value of freight flows (millions of dollars),Other,80459
Air,2019,Value of freight flows (millions of dollars),Other,93690
Air,2018,Value of freight flows (millions of dollars),Other,91088
Air,2017,Value of freight flows (millions of dollars),Other,88959
Air,2016,Value of freight flows (millions of dollars),Other,74484
Air,2015,Value of freight flows (millions of dollars),Other,82558
Air,2014,Value of freight flows (millions of dollars),Other,84284
Air,2013,Value of freight flows (millions of dollars),Other,89043
Air,2012,Value of freight flows (millions of dollars),Other,89706
Air,2011,Value of freight flows (millions of dollars),Other,83925
Air,2010,Value of freight flows (millions of dollars),Other,74173
Air,2009,Value of freight flows (millions of dollars),Other,61026
Air,2008,Value of freight flows (millions of dollars),Other,65792
Air,2007,Value of freight flows (millions of dollars),Other,60285
Air,2006,Value of freight flows (millions of dollars),Other,54547
Air,2022,Value of freight flows (millions of dollars),Mexico,20379
Air,2021,Value of freight flows (millions of dollars),Mexico,17916
Air,2020,Value of freight flows (millions of dollars),Mexico,14348
Air,2019,Value of freight flows (millions of dollars),Mexico,16204
Air,2018,Value of freight flows (millions of dollars),Mexico,17074
Air,2017,Value of freight flows (millions of dollars),Mexico,16657
Air,2016,Value of freight flows (millions of dollars),Mexico,15594
Air,2015,Value of freight flows (millions of dollars),Mexico,16415
Air,2014,Value of freight flows (millions of dollars),Mexico,15621
Air,2013,Value of freight flows (millions of dollars),Mexico,14981
Air,2012,Value of freight flows (millions of dollars),Mexico,16078
Air,2011,Value of freight flows (millions of dollars),Mexico,17568
Air,2010,Value of freight flows (millions of dollars),Mexico,18417
Air,2009,Value of freight flows (millions of dollars),Mexico,14889
Air,2008,Value of freight flows (millions of dollars),Mexico,12982
Air,2007,Value of freight flows (millions of dollars),Mexico,11508
Air,2006,Value of freight flows (millions of dollars),Mexico,11485
Air,2022,Value of freight flows (millions of dollars),Europe,591094
Air,2021,Value of freight flows (millions of dollars),Europe,533741
Air,2020,Value of freight flows (millions of dollars),Europe,482137
Air,2019,Value of freight flows (millions of dollars),Europe,493495
Air,2018,Value of freight flows (millions of dollars),Europe,461928
Air,2017,Value of freight flows (millions of dollars),Europe,403397
Air,2016,Value of freight flows (millions of dollars),Europe,388325
Air,2015,Value of freight flows (millions of dollars),Europe,378458
Air,2014,Value of freight flows (millions of dollars),Europe,366640
Air,2013,Value of freight flows (millions of dollars),Europe,344229
Air,2012,Value of freight flows (millions of dollars),Europe,346579
Air,2011,Value of freight flows (millions of dollars),Europe,349532
Air,2010,Value of freight flows (millions of dollars),Europe,313917
Air,2009,Value of freight flows (millions of dollars),Europe,286318
Air,2008,Value of freight flows (millions of dollars),Europe,333619
Air,2007,Value of freight flows (millions of dollars),Europe,311222
Air,2006,Value of freight flows (millions of dollars),Europe,282051
Air,2022,Value of freight flows (millions of dollars),Canada,37729
Air,2021,Value of freight flows (millions of dollars),Canada,34950
Air,2020,Value of freight flows (millions of dollars),Canada,32144
Air,2019,Value of freight flows (millions of dollars),Canada,33315
Air,2018,Value of freight flows (millions of dollars),Canada,29752
Air,2017,Value of freight flows (millions of dollars),Canada,27170
Air,2016,Value of freight flows (millions of dollars),Canada,26083
Air,2015,Value of freight flows (millions of dollars),Canada,26776
Air,2014,Value of freight flows (millions of dollars),Canada,28378
Air,2013,Value of freight flows (millions of dollars),Canada,29095
Air,2012,Value of freight flows (millions of dollars),Canada,28342
Air,2011,Value of freight flows (millions of dollars),Canada,28278
Air,2010,Value of freight flows (millions of dollars),Canada,27065
Air,2009,Value of freight flows (millions of dollars),Canada,24366
Air,2008,Value of freight flows (millions of dollars),Canada,27823
Air,2007,Value of freight flows (millions of dollars),Canada,26087
Air,2006,Value of freight flows (millions of dollars),Canada,24416
Air,2022,Value of freight flows (millions of dollars),Asia,708985
Air,2021,Value of freight flows (millions of dollars),Asia,672496
Air,2020,Value of freight flows (millions of dollars),Asia,550052
Air,2019,Value of freight flows (millions of dollars),Asia,544730
Air,2018,Value of freight flows (millions of dollars),Asia,569332
Air,2017,Value of freight flows (millions of dollars),Asia,544021
Air,2016,Value of freight flows (millions of dollars),Asia,496973
Air,2015,Value of freight flows (millions of dollars),Asia,501220
Air,2014,Value of freight flows (millions of dollars),Asia,491672
Air,2013,Value of freight flows (millions of dollars),Asia,463127
Air,2012,Value of freight flows (millions of dollars),Asia,447625
Air,2011,Value of freight flows (millions of dollars),Asia,440183
Air,2010,Value of freight flows (millions of dollars),Asia,404200
Air,2009,Value of freight flows (millions of dollars),Asia,314672
Air,2008,Value of freight flows (millions of dollars),Asia,364785
Air,2007,Value of freight flows (millions of dollars),Asia,371815
Air,2006,Value of freight flows (millions of dollars),Asia,358335
Vessel,2022,Value of freight flows (millions of dollars),Other,377885
Vessel,2021,Value of freight flows (millions of dollars),Other,292346
Vessel,2020,Value of freight flows (millions of dollars),Other,219263
Vessel,2019,Value of freight flows (millions of dollars),Other,305321
Vessel,2018,Value of freight flows (millions of dollars),Other,335638
Vessel,2017,Value of freight flows (millions of dollars),Other,317744
Vessel,2016,Value of freight flows (millions of dollars),Other,238886
Vessel,2015,Value of freight flows (millions of dollars),Other,306729
Vessel,2014,Value of freight flows (millions of dollars),Other,346512
Vessel,2013,Value of freight flows (millions of dollars),Other,364287
Vessel,2012,Value of freight flows (millions of dollars),Other,393870
Vessel,2011,Value of freight flows (millions of dollars),Other,413379
Vessel,2010,Value of freight flows (millions of dollars),Other,331550
Vessel,2009,Value of freight flows (millions of dollars),Other,261915
Vessel,2008,Value of freight flows (millions of dollars),Other,394917
Vessel,2007,Value of freight flows (millions of dollars),Other,316334
Vessel,2006,Value of freight flows (millions of dollars),Other,285156
Vessel,2022,Value of freight flows (millions of dollars),Mexico,94903
Vessel,2021,Value of freight flows (millions of dollars),Mexico,66697
Vessel,2020,Value of freight flows (millions of dollars),Mexico,48434
Vessel,2019,Value of freight flows (millions of dollars),Mexico,64624
Vessel,2018,Value of freight flows (millions of dollars),Mexico,66814
Vessel,2017,Value of freight flows (millions of dollars),Mexico,52756
Vessel,2016,Value of freight flows (millions of dollars),Mexico,40401
Vessel,2015,Value of freight flows (millions of dollars),Mexico,44932
Vessel,2014,Value of freight flows (millions of dollars),Mexico,65230
Vessel,2013,Value of freight flows (millions of dollars),Mexico,67380
Vessel,2012,Value of freight flows (millions of dollars),Mexico,73782
Vessel,2011,Value of freight flows (millions of dollars),Mexico,76082
Vessel,2010,Value of freight flows (millions of dollars),Mexico,54588
Vessel,2009,Value of freight flows (millions of dollars),Mexico,39693
Vessel,2008,Value of freight flows (millions of dollars),Mexico,61406
Vessel,2007,Value of freight flows (millions of dollars),Mexico,49360
Vessel,2006,Value of freight flows (millions of dollars),Mexico,48986
Vessel,2022,Value of freight flows (millions of dollars),Europe,545162
Vessel,2021,Value of freight flows (millions of dollars),Europe,450205
Vessel,2020,Value of freight flows (millions of dollars),Europe,361688
Vessel,2019,Value of freight flows (millions of dollars),Europe,417990
Vessel,2018,Value of freight flows (millions of dollars),Europe,405153
Vessel,2017,Value of freight flows (millions of dollars),Europe,361207
Vessel,2016,Value of freight flows (millions of dollars),Europe,339200
Vessel,2015,Value of freight flows (millions of dollars),Europe,362860
Vessel,2014,Value of freight flows (millions of dollars),Europe,391037
Vessel,2013,Value of freight flows (millions of dollars),Europe,379621
Vessel,2012,Value of freight flows (millions of dollars),Europe,380343
Vessel,2011,Value of freight flows (millions of dollars),Europe,366077
Vessel,2010,Value of freight flows (millions of dollars),Europe,296762
Vessel,2009,Value of freight flows (millions of dollars),Europe,251027
Vessel,2008,Value of freight flows (millions of dollars),Europe,366005
Vessel,2007,Value of freight flows (millions of dollars),Europe,320666
Vessel,2006,Value of freight flows (millions of dollars),Europe,292688
Vessel,2022,Value of freight flows (millions of dollars),Canada,43609
Vessel,2021,Value of freight flows (millions of dollars),Canada,30614
Vessel,2020,Value of freight flows (millions of dollars),Canada,20167
Vessel,2019,Value of freight flows (millions of dollars),Canada,30899
Vessel,2018,Value of freight flows (millions of dollars),Canada,29721
Vessel,2017,Value of freight flows (millions of dollars),Canada,22878
Vessel,2016,Value of freight flows (millions of dollars),Canada,17966
Vessel,2015,Value of freight flows (millions of dollars),Canada,28046
Vessel,2014,Value of freight flows (millions of dollars),Canada,38518
Vessel,2013,Value of freight flows (millions of dollars),Canada,36183
Vessel,2012,Value of freight flows (millions of dollars),Canada,32092
Vessel,2011,Value of freight flows (millions of dollars),Canada,32424
Vessel,2010,Value of freight flows (millions of dollars),Canada,26801
Vessel,2009,Value of freight flows (millions of dollars),Canada,19558
Vessel,2008,Value of freight flows (millions of dollars),Canada,31838
Vessel,2007,Value of freight flows (millions of dollars),Canada,24630
Vessel,2006,Value of freight flows (millions of dollars),Canada,21085
Vessel,2022,Value of freight flows (millions of dollars),Asia,1219767
Vessel,2021,Value of freight flows (millions of dollars),Asia,1045137
Vessel,2020,Value of freight flows (millions of dollars),Asia,859607
Vessel,2019,Value of freight flows (millions of dollars),Asia,914763
Vessel,2018,Value of freight flows (millions of dollars),Asia,963618
Vessel,2017,Value of freight flows (millions of dollars),Asia,894005
Vessel,2016,Value of freight flows (millions of dollars),Asia,837896
Vessel,2015,Value of freight flows (millions of dollars),Asia,857259
Vessel,2014,Value of freight flows (millions of dollars),Asia,910523
Vessel,2013,Value of freight flows (millions of dollars),Asia,899581
Vessel,2012,Value of freight flows (millions of dollars),Asia,901431
Vessel,2011,Value of freight flows (millions of dollars),Asia,842711
Vessel,2010,Value of freight flows (millions of dollars),Asia,724300
Vessel,2009,Value of freight flows (millions of dollars),Asia,590103
Vessel,2008,Value of freight flows (millions of dollars),Asia,769433
Vessel,2007,Value of freight flows (millions of dollars),Asia,687504
Vessel,2006,Value of freight flows (millions of dollars),Asia,630787
Truck,2022,Value of freight flows (millions of dollars),Other,
Truck,2021,Value of freight flows (millions of dollars),Other,
Truck,2020,Value of freight flows (millions of dollars),Other,
Truck,2019,Value of freight flows (millions of dollars),Other,
Truck,2018,Value of freight flows (millions of dollars),Other,
Truck,2017,Value of freight flows (millions of dollars),Other,
Truck,2016,Value of freight flows (millions of dollars),Other,
Truck,2015,Value of freight flows (millions of dollars),Other,
Truck,2014,Value of freight flows (millions of dollars),Other,
Truck,2013,Value of freight flows (millions of dollars),Other,
Truck,2012,Value of freight flows (millions of dollars),Other,
Truck,2011,Value of freight flows (millions of dollars),Other,
Truck,2010,Value of freight flows (millions of dollars),Other,
Truck,2009,Value of freight flows (millions of dollars),Other,
Truck,2008,Value of freight flows (millions of dollars),Other,
Truck,2007,Value of freight flows (millions of dollars),Other,
Truck,2006,Value of freight flows (millions of dollars),Other,
Truck,2022,Value of freight flows (millions of dollars),Mexico,535951
Truck,2021,Value of freight flows (millions of dollars),Mexico,460850
Truck,2020,Value of freight flows (millions of dollars),Mexico,385681
Truck,2019,Value of freight flows (millions of dollars),Mexico,429199
Truck,2018,Value of freight flows (millions of dollars),Mexico,423955
Truck,2017,Value of freight flows (millions of dollars),Mexico,384734
Truck,2016,Value of freight flows (millions of dollars),Mexico,372753
Truck,2015,Value of freight flows (millions of dollars),Mexico,376551
Truck,2014,Value of freight flows (millions of dollars),Mexico,360668
Truck,2013,Value of freight flows (millions of dollars),Mexico,335351
Truck,2012,Value of freight flows (millions of dollars),Mexico,323170
Truck,2011,Value of freight flows (millions of dollars),Mexico,295522
Truck,2010,Value of freight flows (millions of dollars),Mexico,260331
Truck,2009,Value of freight flows (millions of dollars),Mexico,207195
Truck,2008,Value of freight flows (millions of dollars),Mexico,234488
Truck,2007,Value of freight flows (millions of dollars),Mexico,230084
Truck,2006,Value of freight flows (millions of dollars),Mexico,219455
Truck,2022,Value of freight flows (millions of dollars),Europe,
Truck,2021,Value of freight flows (millions of dollars),Europe,
Truck,2020,Value of freight flows (millions of dollars),Europe,
Truck,2019,Value of freight flows (millions of dollars),Europe,
Truck,2018,Value of freight flows (millions of dollars),Europe,
Truck,2017,Value of freight flows (millions of dollars),Europe,
Truck,2016,Value of freight flows (millions of dollars),Europe,
Truck,2015,Value of freight flows (millions of dollars),Europe,
Truck,2014,Value of freight flows (millions of dollars),Europe,
Truck,2013,Value of freight flows (millions of dollars),Europe,
Truck,2012,Value of freight flows (millions of dollars),Europe,
Truck,2011,Value of freight flows (millions of dollars),Europe,
Truck,2010,Value of freight flows (millions of dollars),Europe,
Truck,2009,Value of freight flows (millions of dollars),Europe,
Truck,2008,Value of freight flows (millions of dollars),Europe,
Truck,2007,Value of freight flows (millions of dollars),Europe,
Truck,2006,Value of freight flows (millions of dollars),Europe,
Truck,2022,Value of freight flows (millions of dollars),Canada,411976
Truck,2021,Value of freight flows (millions of dollars),Canada,367039
Truck,2020,Value of freight flows (millions of dollars),Canada,309013
Truck,2019,Value of freight flows (millions of dollars),Canada,343075
Truck,2018,Value of freight flows (millions of dollars),Canada,348282
Truck,2017,Value of freight flows (millions of dollars),Canada,336094
Truck,2016,Value of freight flows (millions of dollars),Canada,327228
Truck,2015,Value of freight flows (millions of dollars),Canada,335204
Truck,2014,Value of freight flows (millions of dollars),Canada,353955
Truck,2013,Value of freight flows (millions of dollars),Canada,348332
Truck,2012,Value of freight flows (millions of dollars),Canada,344919
Truck,2011,Value of freight flows (millions of dollars),Canada,334012
Truck,2010,Value of freight flows (millions of dollars),Canada,299886
Truck,2009,Value of freight flows (millions of dollars),Canada,247757
Truck,2008,Value of freight flows (millions of dollars),Canada,319946
Truck,2007,Value of freight flows (millions of dollars),Canada,324747
Truck,2006,Value of freight flows (millions of dollars),Canada,314202
Truck,2022,Value of freight flows (millions of dollars),Asia,
Truck,2021,Value of freight flows (millions of dollars),Asia,
Truck,2020,Value of freight flows (millions of dollars),Asia,
Truck,2019,Value of freight flows (millions of dollars),Asia,
Truck,2018,Value of freight flows (millions of dollars),Asia,
Truck,2017,Value of freight flows (millions of dollars),Asia,
Truck,2016,Value of freight flows (millions of dollars),Asia,
Truck,2015,Value of freight flows (millions of dollars),Asia,
Truck,2014,Value of freight flows (millions of dollars),Asia,
Truck,2013,Value of freight flows (millions of dollars),Asia,
Truck,2012,Value of freight flows (millions of dollars),Asia,
Truck,2011,Value of freight flows (millions of dollars),Asia,
Truck,2010,Value of freight flows (millions of dollars),Asia,
Truck,2009,Value of freight flows (millions of dollars),Asia,
Truck,2008,Value of freight flows (millions of dollars),Asia,
