Year,Customs District,Value
2022,Pacific coast,944.359113164
2021,Pacific coast,929.067431015
2020,Pacific coast,825.343839467
2019,Pacific coast,913.814970855
2018,Pacific coast,996.426459452
2017,Pacific coast,966.026618871
2016,Pacific coast,930.138541313
2015,Pacific coast,940.678633138
2014,Pacific coast,991.357668708
2013,Pacific coast,977.266614245
2012,Pacific coast,975.399493979
2011,Pacific coast,946.583008657
2010,Pacific coast,868.766285506
2009,Pacific coast,728.147154311
2008,Pacific coast,925.495111602
2007,Pacific coast,926.226321989
2006,Pacific coast,902.846120247
2005,Pacific coast,816.744343399
2004,Pacific coast,760.379990584
2003,Pacific coast,694.765790957
2022,Mexican border,542.115422595
2021,Mexican border,502.797429063
2020,Mexican border,432.880811069
2019,Mexican border,493.750560972
2018,Mexican border,494.970122874
2017,Mexican border,477.752718121
2016,Mexican border,464.052042720
2015,Mexican border,472.690908673
2014,Mexican border,467.207682620
2013,Mexican border,442.419791268
2012,Mexican border,426.992364651
2011,Mexican border,396.839496494
2010,Mexican border,352.883595752
2009,Mexican border,279.264937590
2008,Mexican border,325.846724362
2007,Mexican border,325.135500063
2006,Mexican border,319.491572113
2005,Mexican border,288.991676774
2004,Mexican border,279.439336984
2003,Mexican border,250.909518536
2022,Gulf coast,675.047974045
2021,Gulf coast,528.220579968
2020,Gulf coast,415.164718133
2019,Gulf coast,509.429612335
2018,Gulf coast,531.900558588
2017,Gulf coast,470.693078897
2016,Gulf coast,414.756868881
2015,Gulf coast,465.67292438
2014,Gulf coast,592.208573801
2013,Gulf coast,617.920473613
2012,Gulf coast,659.087371774
2011,Gulf coast,652.930738552
2010,Gulf coast,527.223511542
2009,Gulf coast,418.016731058
2008,Gulf coast,612.956318282
2007,Gulf coast,488.311069046
2006,Gulf coast,450.119441389
2005,Gulf coast,391.714956241
2004,Gulf coast,333.832067059
2003,Gulf coast,275.130536844
2022,Canadian border,919.741723079
2021,Canadian border,861.542123967
2020,Canadian border,732.858596642
2019,Canadian border,783.207611173
2018,Canadian border,796.952722178
2017,Canadian border,764.700709906
2016,Canadian border,719.305650564
2015,Canadian border,748.298922855
2014,Canadian border,808.196578075
2013,Canadian border,777.242284366
2012,Canadian border,771.850921433
2011,Canadian border,760.228056447
2010,Canadian border,690.186295917
2009,Canadian border,570.357140489
2008,Canadian border,752.486718503
2007,Canadian border,721.717878039
2006,Canadian border,696.017439125
2005,Canadian border,675.143344255
2004,Canadian border,625.217664564
2003,Canadian border,561.199506122
2022,Atlantic coast,1286.360125999
2021,Atlantic coast,1217.100543415
2020,Atlantic coast,1054.613399286
2019,Atlantic coast,1156.446979361
2018,Atlantic coast,1166.586574033
2017,Atlantic coast,1097.307604868
2016,Atlantic coast,1073.892083845
2015,Atlantic coast,1124.798312181
2014,Atlantic coast,1159.062174566
2013,Atlantic coast,1142.784800650
2012,Atlantic coast,1168.040883658
2011,Atlantic coast,1179.260051882
2010,Atlantic coast,1036.288804258
2009,Atlantic coast,885.979221872
2008,Atlantic coast,1143.225934560
2007,Atlantic coast,1047.626331210
2006,Atlantic coast,973.945141460
2005,Atlantic coast,907.610360916
2004,Atlantic coast,820.137750170
2003,Atlantic coast,729.153996412