Date,Transportation Services Index - Freight
01/01/2000 12:00:00 AM,105.1
02/01/2000 12:00:00 AM,103.3
03/01/2000 12:00:00 AM,99.7
04/01/2000 12:00:00 AM,97.9
05/01/2000 12:00:00 AM,98.8
06/01/2000 12:00:00 AM,99.7
07/01/2000 12:00:00 AM,97.7
08/01/2000 12:00:00 AM,99.6
09/01/2000 12:00:00 AM,99.7
10/01/2000 12:00:00 AM,99.5
11/01/2000 12:00:00 AM,99.9
12/01/2000 12:00:00 AM,99.1
01/01/2001 12:00:00 AM,99.4
02/01/2001 12:00:00 AM,99.3
03/01/2001 12:00:00 AM,99.6
04/01/2001 12:00:00 AM,98
05/01/2001 12:00:00 AM,99.4
06/01/2001 12:00:00 AM,98.6
07/01/2001 12:00:00 AM,97.8
08/01/2001 12:00:00 AM,99.2
09/01/2001 12:00:00 AM,98.1
10/01/2001 12:00:00 AM,98.8
11/01/2001 12:00:00 AM,98.1
12/01/2001 12:00:00 AM,97.7
01/01/2002 12:00:00 AM,98.8
02/01/2002 12:00:00 AM,99.9
03/01/2002 12:00:00 AM,99.1
04/01/2002 12:00:00 AM,99.8
05/01/2002 12:00:00 AM,101.1
06/01/2002 12:00:00 AM,101.5
07/01/2002 12:00:00 AM,102.8
08/01/2002 12:00:00 AM,102.6
09/01/2002 12:00:00 AM,103.1
10/01/2002 12:00:00 AM,104.5
11/01/2002 12:00:00 AM,104.9
12/01/2002 12:00:00 AM,105.2
01/01/2003 12:00:00 AM,104.2
02/01/2003 12:00:00 AM,103.4
03/01/2003 12:00:00 AM,103.9
04/01/2003 12:00:00 AM,104
05/01/2003 12:00:00 AM,103
06/01/2003 12:00:00 AM,102.9
07/01/2003 12:00:00 AM,104.3
08/01/2003 12:00:00 AM,103.8
09/01/2003 12:00:00 AM,105
10/01/2003 12:00:00 AM,106.7
11/01/2003 12:00:00 AM,106.3
12/01/2003 12:00:00 AM,108.8
01/01/2004 12:00:00 AM,107.8
02/01/2004 12:00:00 AM,108.2
03/01/2004 12:00:00 AM,110.5
04/01/2004 12:00:00 AM,110.7
05/01/2004 12:00:00 AM,110.5
06/01/2004 12:00:00 AM,111
07/01/2004 12:00:00 AM,111.2
08/01/2004 12:00:00 AM,110.2
09/01/2004 12:00:00 AM,110.8
10/01/2004 12:00:00 AM,111.4
11/01/2004 12:00:00 AM,112.2
12/01/2004 12:00:00 AM,111.9
01/01/2005 12:00:00 AM,114.2
02/01/2005 12:00:00 AM,113.3
03/01/2005 12:00:00 AM,112.6
04/01/2005 12:00:00 AM,113.1
05/01/2005 12:00:00 AM,112.4
06/01/2005 12:00:00 AM,111.9
07/01/2005 12:00:00 AM,111.9
08/01/2005 12:00:00 AM,112.7
09/01/2005 12:00:00 AM,111.7
10/01/2005 12:00:00 AM,111.2
11/01/2005 12:00:00 AM,113.9
12/01/2005 12:00:00 AM,112.7
01/01/2006 12:00:00 AM,112.7
02/01/2006 12:00:00 AM,111.8
03/01/2006 12:00:00 AM,112.3
04/01/2006 12:00:00 AM,111.5
05/01/2006 12:00:00 AM,113.8
06/01/2006 12:00:00 AM,113.2
07/01/2006 12:00:00 AM,112
08/01/2006 12:00:00 AM,109.8
09/01/2006 12:00:00 AM,113.1
10/01/2006 12:00:00 AM,111
11/01/2006 12:00:00 AM,108.7
12/01/2006 12:00:00 AM,110.8
01/01/2007 12:00:00 AM,110.1
02/01/2007 12:00:00 AM,110.7
03/01/2007 12:00:00 AM,112
04/01/2007 12:00:00 AM,110.4
05/01/2007 12:00:00 AM,110.5
06/01/2007 12:00:00 AM,109.8
07/01/2007 12:00:00 AM,108.9
08/01/2007 12:00:00 AM,109.7
09/01/2007 12:00:00 AM,109.5
10/01/2007 12:00:00 AM,111
11/01/2007 12:00:00 AM,110.8
12/01/2007 12:00:00 AM,110.8
01/01/2008 12:00:00 AM,113.5
02/01/2008 12:00:00 AM,111.2
03/01/2008 12:00:00 AM,109.9
04/01/2008 12:00:00 AM,111.7
05/01/2008 12:00:00 AM,111.5
06/01/2008 12:00:00 AM,110
07/01/2008 12:00:00 AM,111.3
08/01/2008 12:00:00 AM,109.2
09/01/2008 12:00:00 AM,107.6
10/01/2008 12:00:00 AM,107.6
11/01/2008 12:00:00 AM,104.4
12/01/2008 12:00:00 AM,100.5
01/01/2009 12:00:00 AM,98.7
02/01/2009 12:00:00 AM,101.2
03/01/2009 12:00:00 AM,95.9
04/01/2009 12:00:00 AM,95
05/01/2009 12:00:00 AM,95.2
06/01/2009 12:00:00 AM,96.3
07/01/2009 12:00:00 AM,98.5
08/01/2009 12:00:00 AM,99.4
09/01/2009 12:00:00 AM,99.9
10/01/2009 12:00:00 AM,98.8
11/01/2009 12:00:00 AM,101.4
12/01/2009 12:00:00 AM,101.9
01/01/2010 12:00:00 AM,103.3
02/01/2010 12:00:00 AM,105.5
03/01/2010 12:00:00 AM,105.6
04/01/2010 12:00:00 AM,106.5
05/01/2010 12:00:00 AM,106.5
06/01/2010 12:00:00 AM,106.7
07/01/2010 12:00:00 AM,107.1
08/01/2010 12:00:00 AM,106.9
09/01/2010 12:00:00 AM,107.4
10/01/2010 12:00:00 AM,108
11/01/2010 12:00:00 AM,107.5
12/01/2010 12:00:00 AM,109
01/01/2011 12:00:00 AM,110.3
02/01/2011 12:00:00 AM,109.7
03/01/2011 12:00:00 AM,111.1
04/01/2011 12:00:00 AM,110.6
05/01/2011 12:00:00 AM,108.7
06/01/2011 12:00:00 AM,110.6
07/01/2011 12:00:00 AM,110.4
08/01/2011 12:00:00 AM,110.9
09/01/2011 12:00:00 AM,111.4
10/01/2011 12:00:00 AM,111.7
11/01/2011 12:00:00 AM,112
12/01/2011 12:00:00 AM,115.1
01/01/2012 12:00:00 AM,111.5
02/01/2012 12:00:00 AM,112
03/01/2012 12:00:00 AM,111.9
04/01/2012 12:00:00 AM,112.1
05/01/2012 12:00:00 AM,113
06/01/2012 12:00:00 AM,113.9
07/01/2012 12:00:00 AM,113.5
08/01/2012 12:00:00 AM,112.9
09/01/2012 12:00:00 AM,112.2
10/01/2012 12:00:00 AM,110.6
11/01/2012 12:00:00 AM,112.2
12/01/2012 12:00:00 AM,112.3
01/01/2013 12:00:00 AM,114.4
02/01/2013 12:00:00 AM,116
03/01/2013 12:00:00 AM,116
04/01/2013 12:00:00 AM,115
05/01/2013 12:00:00 AM,116
06/01/2013 12:00:00 AM,116.6
07/01/2013 12:00:00 AM,116.1
08/01/2013 12:00:00 AM,116.7
09/01/2013 12:00:00 AM,116.7
10/01/2013 12:00:00 AM,116.7
11/01/2013 12:00:00 AM,119
12/01/2013 12:00:00 AM,117.8
01/01/2014 12:00:00 AM,116.2
02/01/2014 12:00:00 AM,118.2
03/01/2014 12:00:00 AM,120.1
04/01/2014 12:00:00 AM,120.6
05/01/2014 12:00:00 AM,121.1
06/01/2014 12:00:00 AM,119.8
07/01/2014 12:00:00 AM,120.5
08/01/2014 12:00:00 AM,120.8
09/01/2014 12:00:00 AM,122
10/01/2014 12:00:00 AM,122.7
11/01/2014 12:00:00 AM,123.4
12/01/2014 12:00:00 AM,123.2
01/01/2015 12:00:00 AM,123
02/01/2015 12:00:00 AM,122.2
03/01/2015 12:00:00 AM,123.1
04/01/2015 12:00:00 AM,122
05/01/2015 12:00:00 AM,122.2
06/01/2015 12:00:00 AM,121.8
07/01/2015 12:00:00 AM,122.8
08/01/2015 12:00:00 AM,123.4
09/01/2015 12:00:00 AM,123.6
10/01/2015 12:00:00 AM,123
11/01/2015 12:00:00 AM,121.1
12/01/2015 12:00:00 AM,120.7
01/01/2016 12:00:00 AM,122.5
02/01/2016 12:00:00 AM,121.8
03/01/2016 12:00:00 AM,120.7
04/01/2016 12:00:00 AM,123.2
05/01/2016 12:00:00 AM,122.5
06/01/2016 12:00:00 AM,123.3
07/01/2016 12:00:00 AM,125.7
08/01/2016 12:00:00 AM,123.8
09/01/2016 12:00:00 AM,122.5
10/01/2016 12:00:00 AM,123.4
11/01/2016 12:00:00 AM,123.5
12/01/2016 12:00:00 AM,124.8
01/01/2017 12:00:00 AM,124
02/01/2017 12:00:00 AM,124.8
03/01/2017 12:00:00 AM,125.1
04/01/2017 12:00:00 AM,125.5
05/01/2017 12:00:00 AM,126.3
06/01/2017 12:00:00 AM,126.1
07/01/2017 12:00:00 AM,128.6
08/01/2017 12:00:00 AM,129.2
09/01/2017 12:00:00 AM,129.2
10/01/2017 12:00:00 AM,130.4
11/01/2017 12:00:00 AM,132.1
12/01/2017 12:00:00 AM,133.8
01/01/2018 12:00:00 AM,131.7
02/01/2018 12:00:00 AM,134.1
03/01/2018 12:00:00 AM,135.6
04/01/2018 12:00:00 AM,135.5
05/01/2018 12:00:00 AM,136.5
06/01/2018 12:00:00 AM,137.1
07/01/2018 12:00:00 AM,136
08/01/2018 12:00:00 AM,136.6
09/01/2018 12:00:00 AM,138.5
10/01/2018 12:00:00 AM,139.5
11/01/2018 12:00:00 AM,139.6
12/01/2018 12:00:00 AM,137.8
01/01/2019 12:00:00 AM,137.9
02/01/2019 12:00:00 AM,136.9
03/01/2019 12:00:00 AM,137
04/01/2019 12:00:00 AM,137.9
05/01/2019 12:00:00 AM,137.9
06/01/2019 12:00:00 AM,136.9
07/01/2019 12:00:00 AM,139
08/01/2019 12:00:00 AM,141.1
09/01/2019 12:00:00 AM,137.6
10/01/2019 12:00:00 AM,137.4
11/01/2019 12:00:00 AM,137.3
12/01/2019 12:00:00 AM,136.1
01/01/2020 12:00:00 AM,135.9
02/01/2020 12:00:00 AM,135.6
03/01/2020 12:00:00 AM,134.1
04/01/2020 12:00:00 AM,124.1
05/01/2020 12:00:00 AM,125.8
06/01/2020 12:00:00 AM,128.7
07/01/2020 12:00:00 AM,133
08/01/2020 12:00:00 AM,131.5
09/01/2020 12:00:00 AM,131.9
10/01/2020 12:00:00 AM,132.7
11/01/2020 12:00:00 AM,132.7
12/01/2020 12:00:00 AM,134.6
01/01/2021 12:00:00 AM,137.1
02/01/2021 12:00:00 AM,133.7
03/01/2021 12:00:00 AM,136
04/01/2021 12:00:00 AM,137.4
05/01/2021 12:00:00 AM,136.8
06/01/2021 12:00:00 AM,136.2
07/01/2021 12:00:00 AM,134.7
08/01/2021 12:00:00 AM,134.1
09/01/2021 12:00:00 AM,135
10/01/2021 12:00:00 AM,136.7
11/01/2021 12:00:00 AM,137.3
12/01/2021 12:00:00 AM,137.7
01/01/2022 12:00:00 AM,138.3
02/01/2022 12:00:00 AM,139.3
03/01/2022 12:00:00 AM,140.2
04/01/2022 12:00:00 AM,139.2
05/01/2022 12:00:00 AM,139.8
06/01/2022 12:00:00 AM,140.6
07/01/2022 12:00:00 AM,139.8
08/01/2022 12:00:00 AM,141.1
09/01/2022 12:00:00 AM,141
10/01/2022 12:00:00 AM,140
11/01/2022 12:00:00 AM,137
12/01/2022 12:00:00 AM,136.7
01/01/2023 12:00:00 AM,136.6